ProviderNamespace,ResourceType,ModuleDisplayName,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Microsoft.Insights,metricAlerts,implement-azure-virtual-machine-level-backup,implement-azure-virtual-machine-level-backup,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/implement-azure-virtual-machine-level-backup,br/public:avm/res/insights/metric-alert:X.Y.Z,46d3xbcp.res.insights-metricalert,kijunkang,,,,,,,,2023-12
Microsoft.Insights,privateLinkScopes,implement-intersite-connectivity,implement-intersite-connectivity,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/implement-intersite-connectivity,br/public:avm/res/insights/private-link-scope:X.Y.Z,46d3xbcp.res.insights-privatelinkscope,ahmadabdalla,,,,,,,,2024-02
Microsoft.Insights,scheduledQueryRules,implement-secure-hybrid-network,implement-secure-hybrid-network,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/implement-secure-hybrid-network,br/public:avm/res/insights/scheduled-query-rule:X.Y.Z,46d3xbcp.res.insights-scheduledqueryrule,emichellecarter,,,,,,,,2023-12
Microsoft.Insights,webtests,jenkins-server,jenkins-server,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/jenkins-server,br/public:avm/res/insights/webtest:X.Y.Z,46d3xbcp.res.insights-webtest,Jfolberth,,,,,,,,2023-12
Microsoft.KeyVault,vaults,logic-app-send-mail,logic-app-send-mail,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/logic-app-send-mail,br/public:avm/res/key-vault/vault:X.Y.Z,46d3xbcp.res.keyvault-vault,fblix,,,,,,,,2023-10
Microsoft.KubernetesConfiguration,extensions,magento,magento,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/magento,br/public:avm/res/kubernetes-configuration/extension:X.Y.Z,46d3xbcp.res.kubernetesconfiguration-extension,JPEasier,,,,,,,,2023-10
Microsoft.KubernetesConfiguration,fluxConfigurations,microsoft-defender-for-cloud-az-500-lab-014,microsoft-defender-for-cloud-az-500-lab-014,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/microsoft-defender-for-cloud-az-500-lab-014,br/public:avm/res/kubernetes-configuration/flux-configuration:X.Y.Z,46d3xbcp.res.kubernetesconfiguration-fluxconfig,JPEasier,,,,,,,,2023-10
Microsoft.Kusto,clusters,microsoft-defender-for-cloud,microsoft-defender-for-cloud,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/microsoft-defender-for-cloud,br/public:avm/res/kusto/cluster:X.Y.Z,46d3xbcp.res.kusto-cluster,oZakari,,,,,,,,
Microsoft.LoadTestService,loadTests,microsoft-sentinel-automation-rule,microsoft-sentinel-automation-rule,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/microsoft-sentinel-automation-rule,br/public:avm/res/load-test-service/load-test:X.Y.Z,46d3xbcp.res.loadtestservice-loadtest,sebassem,,,,,,,,2024-04
Microsoft.Logic,workflows,microsoft-sentinel-scheduled-analytics-rule,microsoft-sentinel-scheduled-analytics-rule,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/microsoft-sentinel-scheduled-analytics-rule,br/public:avm/res/logic/workflow:X.Y.Z,46d3xbcp.res.logic-workflow,lsnoddy,,,,,,,,2023-11
Microsoft.MachineLearningServices,workspaces,mongodb-on-ubuntu,mongodb-on-ubuntu,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/mongodb-on-ubuntu,br/public:avm/res/machine-learning-services/workspace:X.Y.Z,46d3xbcp.res.machinelearningservices-workspace,,,,,,,,,2024-02
Microsoft.Maintenance,configurationAssignments,moodle,moodle,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/moodle,br/public:avm/res/maintenance/configuration-assignment:X.Y.Z,46d3xbcp.res.maintenance-configurationassignment,,,,,,,,,
Microsoft.Maintenance,maintenanceConfigurations,morpheus-data,morpheus-data,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/morpheus-data,br/public:avm/res/maintenance/maintenance-configuration:X.Y.Z,46d3xbcp.res.maintenance-maintenanceconfiguration,arievanderwende,,,,,,,,2023-12
